src,dst,pt1_lat,pt1_lon,pt2_lat,pt2_lon,dist,time,bat
2,15,35.65758,-105.993406,36.71838,-108.167694,325053.0,13854.0,
2,16,35.65758,-105.993406,38.945105,-104.724068,536327.0,21262.0,
2,17,35.65758,-105.993406,31.940555,-102.169802,709117.0,29166.0,
2,18,35.65758,-105.993406,38.54421,-106.92517,424861.0,21248.0,
2,19,35.65758,-105.993406,35.004614,-106.032837,86767.0,4572.0,
2,20,35.65758,-105.993406,33.39639,-110.76888,678901.0,27716.0,
3,0,38.966292,-94.715917,39.058754,-95.667854,98095.0,4196.0,
3,1,38.966292,-94.715917,35.166531,-89.972823,732068.0,33026.0,
3,2,38.966292,-94.715917,36.093705,-95.863764,394871.0,16112.0,
3,3,38.966292,-94.715917,36.144924,-97.086989,482712.0,18636.0,
3,4,38.966292,-94.715917,35.35468,-94.437379,463257.0,19402.0,
3,5,38.966292,-94.715917,35.463717,-97.619498,550184.0,21163.0,
3,6,38.966292,-94.715917,35.494079,-97.511596,538036.0,20628.0,
3,7,38.966292,-94.715917,36.264897,-95.854698,348888.0,15343.0,
3,8,38.966292,-94.715917,37.215692,-93.306068,262734.0,11725.0,
3,9,38.966292,-94.715917,41.235148,-96.011954,317764.0,13166.0,
3,10,38.966292,-94.715917,40.849302,-96.771971,339651.0,14672.0,
3,11,38.966292,-94.715917,35.382404,-92.390824,523783.0,24392.0,
3,12,38.966292,-94.715917,35.924917,-95.000686,402916.0,17493.0,
3,13,38.966292,-94.715917,35.853211,-94.989243,410828.0,18015.0,
3,14,38.966292,-94.715917,35.434767,-97.424626,542723.0,20870.0,
3,15,38.966292,-94.715917,36.106651,-97.051781,487045.0,18979.0,
3,16,38.966292,-94.715917,35.539229,-98.659654,649321.0,24787.0,
3,17,38.966292,-94.715917,35.246922,-97.461247,564035.0,21738.0,
3,18,38.966292,-94.715917,35.464849,-97.584064,545769.0,20962.0,
3,19,38.966292,-94.715917,35.457897,-97.688507,556326.0,21424.0,
3,20,38.966292,-94.715917,36.127685,-95.995789,403570.0,16637.0,
3,21,38.966292,-94.715917,36.434113,-99.427596,623265.0,25065.0,
3,22,38.966292,-94.715917,35.40817,-99.379767,719910.0,27551.0,
3,23,38.966292,-94.715917,35.608029,-97.530713,530412.0,20217.0,
3,24,38.966292,-94.715917,35.490972,-98.967096,679288.0,25991.0,
3,25,38.966292,-94.715917,35.838731,-94.631014,388944.0,18284.0,
3,26,38.966292,-94.715917,35.106478,-92.43572,618598.0,24909.0,
3,27,38.966292,-94.715917,37.737099,-97.32375,293525.0,11578.0,
3,28,38.966292,-94.715917,35.066272,-90.052743,730874.0,32971.0,
3,29,38.966292,-94.715917,35.395749,-97.267868,558291.0,21547.0,
3,30,38.966292,-94.715917,35.821863,-90.570635,628986.0,28879.0,
3,31,38.966292,-94.715917,42.512003,-90.656218,638391.0,27409.0,
3,32,38.966292,-94.715917,42.488499,-92.367561,508790.0,22261.0,
3,33,38.966292,-94.715917,38.89357,-94.36045,38613.0,1953.0,
3,34,38.966292,-94.715917,38.971499,-92.294316,225791.0,9664.0,
3,35,38.966292,-94.715917,38.96627,-95.700495,104519.0,4515.0,
3,36,38.966292,-94.715917,38.739127,-90.388246,398403.0,17066.0,
3,37,38.966292,-94.715917,38.76094,-90.066043,427410.0,18418.0,
3,38,38.966292,-94.715917,37.199194,-93.402643,272592.0,12010.0,
3,39,38.966292,-94.715917,35.335799,-94.384145,461310.0,19135.0,
3,40,38.966292,-94.715917,41.161411,-96.120182,315387.0,13475.0,
3,41,38.966292,-94.715917,35.309665,-99.631741,746147.0,28548.0,
3,42,38.966292,-94.715917,36.249164,-95.333829,347619.0,14626.0,
3,43,38.966292,-94.715917,36.127057,-96.352955,435080.0,17860.0,
3,44,38.966292,-94.715917,35.58558,-97.58744,538210.0,20676.0,
3,45,38.966292,-94.715917,35.042134,-90.810704,803794.0,32066.0,
3,46,38.966292,-94.715917,41.64338,-93.603529,339648.0,14180.0,
3,47,38.966292,-94.715917,38.611125,-90.193753,422420.0,18234.0,
3,48,38.966292,-94.715917,41.585882,-90.573456,596225.0,24559.0,
3,49,38.966292,-94.715917,39.088255,-94.732123,23608.0,1315.0,
3,50,38.966292,-94.715917,39.149026,-94.617479,25966.0,1638.0,
3,51,38.966292,-94.715917,36.113892,-95.889587,392185.0,16038.0,
3,52,38.966292,-94.715917,39.13353,-94.523119,29173.0,1659.0,
3,53,38.966292,-94.715917,36.535661,-97.33916,415779.0,15857.0,
3,54,38.966292,-94.715917,35.153934,-90.138245,715554.0,32136.0,
3,55,38.966292,-94.715917,35.486391,-95.148721,445457.0,18787.0,
3,56,38.966292,-94.715917,35.201617,-91.732791,696195.0,28334.0,
3,57,38.966292,-94.715917,35.150538,-97.479381,575196.0,22234.0,
3,58,38.966292,-94.715917,36.167392,-94.119169,355454.0,15281.0,
3,59,38.966292,-94.715917,41.235744,-95.88063,305492.0,12571.0,
3,60,38.966292,-94.715917,35.02927,-94.647628,507219.0,21715.0,
3,61,38.966292,-94.715917,35.626543,-97.496058,524570.0,20209.0,
3,62,38.966292,-94.715917,36.161696,-95.829403,385418.0,15726.0,
3,63,38.966292,-94.715917,39.091195,-94.682103,17556.0,972.0,
3,64,38.966292,-94.715917,38.797138,-90.076424,429336.0,18544.0,
3,65,38.966292,-94.715917,35.840761,-98.419831,584559.0,23068.0,
3,66,38.966292,-94.715917,35.392817,-97.422948,547353.0,21196.0,
3,67,38.966292,-94.715917,35.478088,-97.741089,561734.0,21567.0,
3,68,38.966292,-94.715917,35.25655,-96.671004,533180.0,21614.0,
3,69,38.966292,-94.715917,35.507948,-97.564657,539781.0,20677.0,
3,70,38.966292,-94.715917,35.462338,-97.654087,552923.0,21241.0,
3,71,38.966292,-94.715917,35.87844,-97.392471,489956.0,18632.0,
3,72,38.966292,-94.715917,41.04622,-95.915192,288294.0,12181.0,
3,73,38.966292,-94.715917,37.648431,-98.094183,360954.0,14330.0,
3,74,38.966292,-94.715917,42.47014,-92.44708,501092.0,21885.0,
3,75,38.966292,-94.715917,42.511462,-90.656075,638401.0,27412.0,
3,76,38.966292,-94.715917,36.081743,-96.054325,408043.0,16718.0,
3,77,38.966292,-94.715917,36.751521,-96.000152,312462.0,14093.0,
3,78,38.966292,-94.715917,36.221004,-95.83666,381774.0,15572.0,
3,79,38.966292,-94.715917,40.31694,-94.87345,164136.0,7032.0,
4,0,39.058754,-95.667854,38.966292,-94.715917,97188.0,4203.0,
